|Urut Nasional|Urut Provinsi|NPSN|Kota/Kab.|Sekolah|Provinsi|Rerata|Tertinggi|Terendah|Std. Deviasi|Jenis
0|1|1|20109933|Kota Jakarta Timur|SMAN UNGGULAN M.H. THAMRIN|DKI Jakarta|601.683|653.223|516.063|286.2|SMA
1|2|1|20623314|Kota Tangerang Selatan|MAN INSAN CENDEKIA SERPONG|Banten|599.654|661.865|509.688|333.7|MA
2|3|1|10263538|Kab. Toba Samosir|SMAS UNGGUL DEL|Sumatera Utara|598.523|654.295|492.703|288.9|SMA
3|4|2|20102568|Kota Jakarta Selatan|SMAN 8 JAKARTA|DKI Jakarta|594.865|653.18|461.575|310.2|SMA
4|5|1|20532248|Kota Surabaya|SMAN 5 SURABAYA|Jawa Timur|594.605|675.373|476.443|319.1|SMA
5|6|3|20101306|Kota Jakarta Barat|SMAS 1 KRISTEN BPK PENABUR|DKI Jakarta|594.437|653.618|485.935|328.5|SMA
6|7|1|20219730|Kota Bandung|SMAS BPK 1 PENABUR BANDUNG|Jawa Barat|592.52|654.745|498.65|317.5|SMA
7|8|4|20104413|Kota Jakarta Barat|SMAS DIAN HARAPAN|DKI Jakarta|589.811|649.075|499.89|397.9|SMA
8|9|1|20403174|Kota Yogyakarta|SMAN 1 YOGYAKARTA|DI Yogyakarta|588.002|662.698|429.603|342.5|SMA
9|10|2|20532145|Kota Surabaya|SMA KATOLIK ST.LOUIS 1|Jawa Timur|587.81|651.863|511.763|317.3|SMA
10|11|1|30315142|Kab. Banjar|SMAN BANUA KAL SEL|Kalimantan Selatan|586.834|639.368|492.293|314.2|SMA
11|12|2|20403178|Kota Yogyakarta|SMAN 3 YOGYAKARTA|DI Yogyakarta|585.96|670.06|488.673|340.8|SMA
12|13|5|20107319|Kota Jakarta Selatan|SMAN 28 JAKARTA|DKI Jakarta|585.437|660.613|500.708|301.1|SMA
13|14|6|20103301|Kota Jakarta Timur|SMAN 81 JAKARTA|DKI Jakarta|585.048|656.79|460.648|350.6|SMA
14|15|3|20532136|Kota Surabaya|SMAS KRISTEN PETRA 2 SURABAYA|Jawa Timur|584.729|654.373|506.908|330.6|SMA
15|16|7|20100170|Kota Jakarta Pusat|SMAS KANISIUS JAKARTA|DKI Jakarta|584.684|647.395|506.95|328.8|SMA
16|17|2|20613520|Kota Tangerang Selatan|SMAS SANTA LAURENSIA|Banten|584.01|640.62|538.883|299.6|SMA
17|18|3|20403161|Kota Yogyakarta|SMAN 8 YOGYAKARTA|DI Yogyakarta|583.676|658.238|475.623|335.9|SMA
18|19|2|20219731|Kota Bandung|SMAS BINA BHAKTI 1|Jawa Barat|582.568|637.85|440.128|459.8|SMA
19|20|8|20110335|Kota Jakarta Utara|SMAS KRISTEN 6 PENABUR|DKI Jakarta|582.07|638.375|528.033|299.9|SMA
20|21|9|20100187|Kota Jakarta Pusat|SMAS KRISTEN 3 PENABUR JAKARTA|DKI Jakarta|581.589|646.3|520.143|308.4|SMA
21|22|10|20100601|Kota Jakarta Utara|SMAS KRISTEN 5 BPK PENABUR|DKI Jakarta|581.585|653.205|501.073|332.7|SMA
22|23|3|20219263|Kota Bandung|SMAS ALLOYSIUS 1|Jawa Barat|581.123|646.988|481.745|361.8|SMA
23|24|3|20603357|Kab. Tangerang|SMAS KRISTEN BPK PENABUR GADING SERPONG|Banten|580.709|641.455|448.723|330.5|SMA
24|25|11|20108383|Kota Jakarta Pusat|SMAS SANTA URSULA|DKI Jakarta|580.44|635.835|503.538|335.7|SMA
25|26|12|20109467|Kota Jakarta Barat|SMAS KRISTEN IPEKA PURI INDAH|DKI Jakarta|580.165|635.518|511.888|361.8|SMA
26|27|4|20603376|Kota Tangerang Selatan|SMAS SANTA URSULA BSD|Banten|579.837|660.42|486.9|337.3|SMA
27|28|13|20107313|Kota Jakarta Selatan|SMA LABSCHOOL KEBAYORAN|DKI Jakarta|579.|654.923|468.173|379.6|SMA
28|29|14|20102214|Kota Jakarta Selatan|SMAN 34 JAKARTA|DKI Jakarta|577.815|647.62|484.975|341.1|SMA
29|30|5|20616061|Kab. Tangerang|SMAS PAHOA|Banten|577.767|652.275|362.283|556.|SMA
30|31|4|20403177|Kota Yogyakarta|SMAN 2 YOGYAKARTA|DI Yogyakarta|577.078|653.543|488.73|317.|SMA
31|32|6|20616291|Kota Tangerang Selatan|SMAS ATHALIA|Banten|576.357|643.128|498.613|420.4|SMA
32|33|1|20328915|Kota Semarang|SMAS KOLESE LOYOLA|Jawa Tengah|576.114|655.025|498.55|315.|SMA
33|34|2|20328895|Kota Semarang|SMA NEGERI 03|Jawa Tengah|575.833|654.203|398.56|369.7|SMA
34|35|3|20327966|Kota Surakarta|SMAN 1 SURAKARTA|Jawa Tengah|575.671|651.775|490.413|331.7|SMA
35|36|1|60728785|Kab. Bone Bolango|MAN Insan Cendekia Gorontalo|Gorontalo|575.538|645.675|444.895|350.2|MA
36|37|4|69895400|Kota Bandung|SMA BPK PENABUR HOLIS|Jawa Barat|575.228|623.703|487.223|352.|SMA
37|38|7|69787002|Kota Tangerang|SMAK PENABUR KOTA TANGERANG|Banten|575.117|649.7|444.39|404.|SMA
38|39|5|20220342|Kota Bogor|SMAN 1 BOGOR|Jawa Barat|574.94|681.885|436.513|400.1|SMA
39|40|4|20533665|Kota Malang|SMAN 3|Jawa Timur|574.806|656.79|447.24|377.4|SMA
40|41|5|20403171|Kota Yogyakarta|SMAN 6 YOGYAKARTA|DI Yogyakarta|574.582|642.273|458.115|334.9|SMA
41|42|5|20533654|Kota Malang|SMAS K KOLESE ST YUSUP|Jawa Timur|574.527|650.7|432.91|398.2|SMA
42|43|15|20101622|Kota Jakarta Barat|SMAN 2 JAKARTA|DKI Jakarta|574.511|664.248|496.863|33.|SMA
43|44|16|20100199|Kota Jakarta Pusat|SMAN 68 JAKARTA|DKI Jakarta|573.89|641.048|442.178|347.5|SMA
44|45|4|69941723|Kab. Pekalongan|MAN INSAN CENDEKIA PEKALONGAN|Jawa Tengah|573.763|641.908|473.25|346.4|MA
45|46|17|20101588|Kota Jakarta Barat|SMAN 78 JAKARTA|DKI Jakarta|572.779|647.73|444.698|408.|SMA
46|47|6|20400405|Kab. Bantul|SMA NEGERI 1 BANTUL|DI Yogyakarta|572.747|646.158|484.05|323.8|SMA
47|48|18|20107383|Kota Jakarta Utara|SMAS KRISTEN IPEKA SUNTER|DKI Jakarta|572.583|645.29|499.42|372.7|SMA
48|49|6|20219327|Kota Bandung|SMAN 3 BANDUNG|Jawa Barat|572.43|652.558|442.395|398.5|SMA
49|50|19|20101305|Kota Jakarta Barat|SMAS 4 KRISTEN PENABUR|DKI Jakarta|572.404|630.775|452.77|334.8|SMA
50|51|7|20403162|Kota Yogyakarta|SMAN 9 YOGYAKARTA|DI Yogyakarta|572.032|638.053|479.125|302.|SMA
51|52|6|20532230|Kota Surabaya|SMAN 2 SURABAYA|Jawa Timur|571.169|661.545|440.665|337.1|SMA
52|53|7|20219266|Kota Bandung|SMAS ST ANGELA|Jawa Barat|571.101|650.665|482.46|375.|SMA
53|54|20|20103307|Kota Jakarta Timur|SMAN 61 JAKARTA|DKI Jakarta|571.055|640.77|495.153|327.4|SMA
54|55|21|20103314|Kota Jakarta Timur|SMAN 48 JAKARTA|DKI Jakarta|570.644|649.258|469.795|329.|SMA
55|56|2|10210848|Kota Medan|SMAS SUTOMO 1|Sumatera Utara|570.339|653.08|458.25|383.1|SMA
56|57|8|20253810|Kab. Bekasi|SMAS DON BOSCO III|Jawa Barat|569.568|655.768|471.948|459.2|SMA
57|58|7|20533660|Kota Malang|SMAN 1|Jawa Timur|569.392|652.298|433.745|363.1|SMA
58|59|1|11002581|Kota Batam|SMAS MAITREYAWIRA|Kepulauan Riau|569.272|631.865|462.405|402.6|SMA
59|60|22|20107299|Kota Jakarta Selatan|SMAS GONZAGA JAKARTA|DKI Jakarta|569.183|647.69|476.05|334.4|SMA
60|61|8|20580050|Kota Malang|MAN 2 KOTA MALANG|Jawa Timur|569.116|653.183|463.013|398.|MA
61|62|9|20523844|Kab. Jember|SMAN 1 JEMBER|Jawa Timur|568.997|657.398|447.745|354.9|SMA
62|63|8|20606507|Kab. Tangerang|SMAS UPH COLEGE|Banten|568.948|639.613|443.908|384.3|SMA
